Premises Name|Address|postcode|Local Authority|Type|Products Sold|Company Name|Status
A M GRIEVE NEWSAGENTS|12, HIGH STREET DG10 9HF|DG10 9HF|Dumfries and Galloway|Confectionary / Tobacconist / Newsagents|Tobacco And Nicotine Vapour Products|A M GRIEVE NEWSAGENTS|Active
A M Hogg, Newsagents|High Street, Gifford EH41 4QU|EH41 4QU|East Lothian|Confectionary / Tobacconist / Newsagents|Tobacco Only|A M Hogg|Active
A N F Newsagents|126 Dukes Road,,  G73 5AF|G73 5AF|South Lanarkshire|Convenience Store|Tobacco Only|A N F Newsagents|Inactive
A N Superstore|92 Glenhove Road, Cumbernauld G67 2LA|G67 2LA|North Lanarkshire|Convenience Store|Tobacco And Nicotine Vapour Products|A R Mini Market Ltd|Active
A P MACARI ICES|TYRIE COTTAGE, 14 STATION ROAD KY5 9QW|KY5 9QW|Fife|Mobile Trade|Tobacco Only|A P MACARI|Inactive
A R Mini Market Ltd|Gulam Rasul & Son, 114-116 West Princes Street G84 8XD|G84 8XD|Renfrewshire|Convenience Store|Tobacco And Nicotine Vapour Products|A R Mini Market Ltd|Active
a r traders|7 bain street, gallowgate G40 2JZ|G40 2JZ|Glasgow City|Confectionary / Tobacconist / Newsagents|Tobacco Only|a r traders|Active
a room in leith|1a Dock Place,  EH6 6LU|EH6 6LU|Edinburgh City|Restaurant|Tobacco Only|archie and richie ltd|Active
A SHAKOOR & SON|5 GARTLEAHILL,  ML6 9LE|ML6 9LE|North Lanarkshire|Convenience Store|Tobacco Only|A SHAKOOR & SON|Active
A Step Forward|32 St Andrews Street ,  DG7 1EL|DG7 1EL|Dumfries and Galloway|Other Retail|Nicotine Vapour Products Only|A Step Forward|Active
"A Wahlberg & Sons ""Home Bakery"""|63/65 Main Street,  EH37 5PZ|EH37 5PZ|Midlothian|Other Retail|Tobacco Only|albert Wahlberg & Sons|Inactive
A Wee Dram|132 Tweedsmuir Road, Cardonald G52 2RY|G52 2RY|Glasgow City|Off-Licence|Tobacco Only|A Wee Dram|Active
A Wee Dram Ltd|44, Sinclair Drive G42 9QE|G42 9QE|Glasgow City|Off-Licence|Tobacco Only|A Wee Dram|Active
A Z Superstore|6-8 Webster Street, Whitecrook G81 1AZ|G81 1AZ|West Dunbartonshire|Off-Licence|Tobacco Only|A Z Superstore|Active
A&A Bargain Store|1 South Clerk Street,  EH8 9JD|EH8 9JD|Edinburgh City|Off-Licence|Tobacco Only|A&A Bargain Store|Active
A&A Chaudry|824 Mosspark Drive, Cardonald G52 3DA|G52 3DA|Glasgow City|Convenience Store|Tobacco Only|A&A Chaudry|Active
